# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 2.000000 1.000000 -900.000000 271 187 187
-1000.000000 2.000000 1.000000 -800.000000 271 121 121
-1000.000000 2.000000 1.000000 -700.000000 271 85 85
-1000.000000 2.000000 1.000000 -600.000000 271 61 61
-1000.000000 2.000000 1.000000 -500.000000 271 55 55
-1000.000000 2.000000 1.000000 -400.000000 271 37 37
-1000.000000 2.000000 1.000000 -300.000000 271 19 31
-1000.000000 2.000000 1.000000 -200.000000 271 13 19
-1000.000000 2.000000 1.000000 -100.000000 271 7 19
-1000.000000 2.000000 2.000000 -900.000000 271 121 121
-1000.000000 2.000000 2.000000 -800.000000 271 85 85
-1000.000000 2.000000 2.000000 -700.000000 271 55 55
-1000.000000 2.000000 2.000000 -600.000000 271 37 37
-1000.000000 2.000000 2.000000 -500.000000 271 31 37
-1000.000000 2.000000 2.000000 -400.000000 271 19 31
-1000.000000 2.000000 2.000000 -300.000000 271 13 19
-1000.000000 2.000000 2.000000 -200.000000 271 7 19
-1000.000000 2.000000 2.000000 -100.000000 271 1 13
-1000.000000 3.000000 1.000000 -900.000000 271 271 271
-1000.000000 3.000000 1.000000 -800.000000 271 162 241
-1000.000000 3.000000 1.000000 -700.000000 271 94 187
-1000.000000 3.000000 1.000000 -600.000000 271 61 151
-1000.000000 3.000000 1.000000 -500.000000 271 41 121
-1000.000000 3.000000 1.000000 -400.000000 271 31 91
-1000.000000 3.000000 1.000000 -300.000000 271 19 73
-1000.000000 3.000000 1.000000 -200.000000 271 13 47
-1000.000000 3.000000 1.000000 -100.000000 271 7 19
-1000.000000 3.000000 2.000000 -900.000000 271 223 253
-1000.000000 3.000000 2.000000 -800.000000 271 109 163
-1000.000000 3.000000 2.000000 -700.000000 271 61 121
-1000.000000 3.000000 2.000000 -600.000000 271 38 97
-1000.000000 3.000000 2.000000 -500.000000 271 31 85
-1000.000000 3.000000 2.000000 -400.000000 271 19 61
-1000.000000 3.000000 2.000000 -300.000000 271 13 46
-1000.000000 3.000000 2.000000 -200.000000 271 7 31
-1000.000000 3.000000 2.000000 -100.000000 271 1 13
-1000.000000 3.000000 3.000000 -900.000000 271 161 211
-1000.000000 3.000000 3.000000 -800.000000 271 76 129
-1000.000000 3.000000 3.000000 -700.000000 271 39 97
-1000.000000 3.000000 3.000000 -600.000000 271 31 85
-1000.000000 3.000000 3.000000 -500.000000 271 19 61
-1000.000000 3.000000 3.000000 -400.000000 271 13 50
-1000.000000 3.000000 3.000000 -300.000000 271 7 31
-1000.000000 3.000000 3.000000 -200.000000 271 7 19
-1000.000000 3.000000 3.000000 -100.000000 271 1 7
-1000.000000 3.000000 4.000000 -900.000000 271 121 163
-1000.000000 3.000000 4.000000 -800.000000 271 55 109
-1000.000000 3.000000 4.000000 -700.000000 271 35 85
-1000.000000 3.000000 4.000000 -600.000000 271 19 61
-1000.000000 3.000000 4.000000 -500.000000 271 13 55
-1000.000000 3.000000 4.000000 -400.000000 271 7 37
-1000.000000 3.000000 4.000000 -300.000000 271 7 19
-1000.000000 3.000000 4.000000 -200.000000 271 5 13
-1000.000000 3.000000 4.000000 -100.000000 271 1 7
-1000.000000 3.000000 5.000000 -900.000000 271 89 151
-1000.000000 3.000000 5.000000 -800.000000 271 38 91
-1000.000000 3.000000 5.000000 -700.000000 271 23 71
-1000.000000 3.000000 5.000000 -600.000000 271 19 55
-1000.000000 3.000000 5.000000 -500.000000 271 9 37
-1000.000000 3.000000 5.000000 -400.000000 271 7 31
-1000.000000 3.000000 5.000000 -300.000000 271 7 19
-1000.000000 3.000000 5.000000 -200.000000 271 1 8
-1000.000000 3.000000 5.000000 -100.000000 271 1 7
-1000.000000 3.000000 6.000000 -900.000000 271 72 121
-1000.000000 3.000000 6.000000 -800.000000 271 35 85
-1000.000000 3.000000 6.000000 -700.000000 271 19 61
-1000.000000 3.000000 6.000000 -600.000000 271 13 47
-1000.000000 3.000000 6.000000 -500.000000 271 7 31
-1000.000000 3.000000 6.000000 -400.000000 271 7 19
-1000.000000 3.000000 6.000000 -300.000000 271 5 13
